tweet,text_clean,polarity_score,polarity
"Telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis. Sawah dan kebun di kampung digusur menjadi beton, maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi2 tetangga.",telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis sawah dan kebun di kampung digusur menjadi beton maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi tetangga,-5,negative
Dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawah-sawah hancur digusur sementara lapar pada anakmu tak juga kendur?,dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawahsawah hancur digusur sementara lapar pada anakmu tak juga kendur,-4,negative
"@RAMujiyono Tak hanya buih jadi permadani. Pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa. Capung2 yg beterbangan, berburu belalang tatkala hujan, dan kunang2 yg menghiasi malam. Tp itu dulu, kini tinggal kenangan. Sekarang sawahnya sudah digusur jadi perumahan.",tak hanya buih jadi permadani pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa capung yg beterbangan berburu belalang tatkala hujan dan kunang yg menghiasi malam tp itu dulu kini tinggal kenangan sekarang sawahnya sudah digusur jadi perumahan,15,positive
"Bagaimana kita bisa hidup dan beranak-pinak dengan tenang, Sayang? Ketika negara tak pernah memberikan ketenangan sama sekali kepada kita. Sawah-sawah diganti pabrik, hutan-hutan dijadikan perkebunan sawit, desa-desa digusur untuk pembangunan infrastruktur.",bagaimana kita bisa hidup dan beranakpinak dengan tenang sayang ketika negara tak pernah memberikan ketenangan sama sekali kepada kita sawahsawah diganti pabrik hutanhutan dijadikan perkebunan sawit desadesa digusur untuk pembangunan infrastruktur,2,positive
"@memijin_ Mana ada dibutuhin, sawah ae habis digusur dijadii pemukiman. Beras terbaik Indonesia mah di impor, yg kita makan yg sisa gk kejual ke luar 🤣🤣",mana ada dibutuhin sawah ae habis digusur dijadii pemukiman beras terbaik indonesia mah di impor yg kita makan yg sisa gk kejual ke luar 🤣🤣,6,positive
"@MSApunya @PutraWadapi Sawah akan digusur jadi berubah fungsi, berasnya di pindah ke vietnam",sawah akan digusur jadi berubah fungsi berasnya di pindah ke vietnam,-1,negative
"@nanisentyaa Tidak dipatahkan, hanya disobek, disemplak, digusur, dibejek-bejek, kemudian dibubuykeun ke sawah",tidak dipatahkan hanya disobek disemplak digusur dibejekbejek kemudian dibubuykeun ke sawah,-6,negative
"Sawah digusur, kalo warganya gamau di paksa, abis itu dibuat jalan tol. Jalan tol katanya untuk memudahkan mobilisasi, lama-lama semua lahan pertanian buat memudahkan mobilisasi pengiriman. Nah lahan taninya digusur. Iya abis itu kita semua makan aspal. Wassalam. wkwkwkwk",sawah digusur kalo warganya gamau di paksa abis itu dibuat jalan tol jalan tol katanya untuk memudahkan mobilisasi lamalama semua lahan pertanian buat memudahkan mobilisasi pengiriman nah lahan taninya digusur iya abis itu kita semua makan aspal wassalam wkwkwkwk,0,neutral
"Alam dibabat, sawah digusur. Terus kalau anak-anak mau ✨back to nature✨ Sekolah alam menyediakan fasilitas dengan bayar 5 juta per bulan 💀💀💀",alam dibabat sawah digusur terus kalau anakanak mau ✨back to nature✨ sekolah alam menyediakan fasilitas dengan bayar  juta per bulan 💀💀💀,11,positive
"Nanti sawah baru digusur lagi buat jadi hunian, siklusnya berulang lagi. Makin lama hutannya makin habis, oksigen makin menipis. Pepohonan hijau jadi bagian dari sejarah, lalu penduduk bumi pun memusnah. Hilihhh.. Takutt 😢",nanti sawah baru digusur lagi buat jadi hunian siklusnya berulang lagi makin lama hutannya makin habis oksigen makin menipis pepohonan hijau jadi bagian dari sejarah lalu penduduk bumi pun memusnah hilihhh takutt 😢,0,neutral
@Damarja54327898 @WPradhika @Priagarislurus @VIVAcoid thats ((GA TERLALU PAHAM)) 🤭🤭🤭 Ok then.. itu sawah digusur dijadikan bandara akan mengurangi pengangguran. ada datanya? kasi saya dong.. gusur sawah aja itu udah bikin pengangguran baru.,thats ga terlalu paham 🤭🤭🤭 ok then itu sawah digusur dijadikan bandara akan mengurangi pengangguran ada datanya kasi saya dong gusur sawah aja itu udah bikin pengangguran baru,-7,negative
"@masjokose @kompascom Bonngkar lg, jadikan sawah u petani yg digusur ...",bonngkar lg jadikan sawah u petani yg digusur,-1,negative
"@Quvvatt Berhektar-hektar sawah digusur, anggaran hmpir 3 T, ujung2nya hanya buat jdi bengkel sj...semuanya berawal dri baliho pricetag outfit seseorg",berhektarhektar sawah digusur anggaran hmpir  t ujungnya hanya buat jdi bengkel sjsemuanya berawal dri baliho pricetag outfit seseorg,-1,negative
"@HukumDan Pdhl kalo dimisalkan tu duit buat pembangunan kan bisa buat bayar utang negara yak, lah ini bikin bandara yg ujung²nya jadi bengkel dan sekian ribu hektar sawah digusur, masyarakat sekitar pun malah kena imbasnya",pdhl kalo dimisalkan tu duit buat pembangunan kan bisa buat bayar utang negara yak lah ini bikin bandara yg ujung²nya jadi bengkel dan sekian ribu hektar sawah digusur masyarakat sekitar pun malah kena imbasnya,-9,negative
@nindytapu @mutajir_mohamat @hipohan Coba mbak Food estate punya sopo? Kalau bekas sawah yg digusur di Kertajati pasti punya rakyat. Maksude ngono...hak rakyat dimetamorfosis milik segelintir.,coba mbak food estate punya sopo kalau bekas sawah yg digusur di kertajati pasti punya rakyat maksude ngonohak rakyat dimetamorfosis milik segelintir,3,positive
@Dandhy_Laksono 5000 hektare sawah digusur....,hektare sawah digusur,-2,negative
@RachlanNashidik Dulu sawah digusur jd bandara yg ga laku lalu berubah jd bengkel,dulu sawah digusur jd bandara yg ga laku lalu berubah jd bengkel,-2,negative
"""Nagara Rimba Nusa"" tapi rimbanya dibalak jadi sawah baru. Sementara sawah yang ada digusur jadi pemukiman baru.",nagara rimba nusa tapi rimbanya dibalak jadi sawah baru sementara sawah yang ada digusur jadi pemukiman baru,7,positive
mungkin itu burung asalanya dari sawah sebelah yang digusur,mungkin itu burung asalanya dari sawah sebelah yang digusur,-4,negative
@ilysmtihm Sujeong menginjak tanah sawah sebelum lahannya digusur oleh jo[sebagian teks hilang],sujeong menginjak tanah sawah sebelum lahannya digusur oleh josebagian teks hilang,-3,negative
@ecosocrights Sumber karbohidrat di Indonesia jenisnya banyak. Tapi kok seakan-akan beras itu paling diistimewakan? Bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah.,sumber karbohidrat di indonesia jenisnya banyak tapi kok seakanakan beras itu paling diistimewakan bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah,-4,negative
Sawah digusur padi diimpor,sawah digusur padi diimpor,-2,negative
"@bobsingadikrama Gimana mau bertani, kalau sawah digusur jadi pabrik.",gimana mau bertani kalau sawah digusur jadi pabrik,-2,negative
@kementan Untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab Pekalongan jawa Tengah seluas 40 hektare akan digusur dijadikan pabrik,untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab pekalongan jawa tengah seluas  hektare akan digusur dijadikan pabrik,11,positive
"@PutraWadapi Ngecek sawah buat digusur,yg udah 2 mah gtu sih 🤣🤣🤣",ngecek sawah buat digusuryg udah  mah gtu sih 🤣🤣🤣,0,neutral
Ayo nak anak agroteknologi bikin sawah indoor dlam gedung biar ga gampang digusur,ayo nak anak agroteknologi bikin sawah indoor dlam gedung biar ga gampang digusur,1,positive
@ridhomulki Mereka takut utk kesana. Krn blm familiar. Mentalitas juga kurang ntr kalo kurang ilmu. Paling bener beli sawah lagi yg kira2 ada minyak. Ntr kalo digusur lg dpt uang lg😂,mereka takut utk kesana krn blm familiar mentalitas juga kurang ntr kalo kurang ilmu paling bener beli sawah lagi yg kira ada minyak ntr kalo digusur lg dpt uang lg😂,7,positive
"@msaid_didu Oh Indonesiaku, Tanah Subur Rakyat Nganggur Sawah Ladang pun digusur Tanam Jagung Tumbuh Gedung Tanam Padi Tumbuh Korupsi",oh indonesiaku tanah subur rakyat nganggur sawah ladang pun digusur tanam jagung tumbuh gedung tanam padi tumbuh korupsi,-5,negative
"Jadi inget cerita dari antah berantah. Satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah. Kemudian karena uang ganti rugi selalu dinaikan maka lama2 warga desa luluh dan mau digusur. Ada satu warga yang kekeuh untuk mempertahankan rumah dan sawahnya,lalu",jadi inget cerita dari antah berantah satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah kemudian karena uang ganti rugi selalu dinaikan maka lama warga desa luluh dan mau digusur ada satu warga yang kekeuh untuk mempertahankan rumah dan sawahnyalalu,8,positive
Jaman pak harto malah 3x dalam setahun pak jaman pakharto Indonesia swasembada pangan pak harto blusukan kesawah berad expor sekarang jaman bpk blusukan kesawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tlg jangan tol aja di perhatikan,jaman pak harto malah x dalam setahun pak jaman pakharto indonesia swasembada pangan pak harto blusukan kesawah berad expor sekarang jaman bpk blusukan kesawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tlg jangan tol aja di perhatikan,-2,negative
@RisdaNurWidia @skatebanana_ Skate tengah sawah yg terancam digusur,skate tengah sawah yg terancam digusur,-4,negative
Wah dukung PLTA toh. Nanti kalau desa dan sawah warga digusur buat dilelepin setuju juga ya,wah dukung plta toh nanti kalau desa dan sawah warga digusur buat dilelepin setuju juga ya,5,positive
kalau tambakrejo ga digusur mungkin sawah besar udah kerendem lagi,kalau tambakrejo ga digusur mungkin sawah besar udah kerendem lagi,-2,negative
"@geloraco Kaya buat orang2ngan sawah di tengah laut aja bu? Kata ""abdur stand up"" bukn kata saya. Tp emang capil udah digusur yah sampe turun tangan sndiri?..",kaya buat orangngan sawah di tengah laut aja bu kata abdur stand up bukn kata saya tp emang capil udah digusur yah sampe turun tangan sndiri,6,positive
@ridwankamil Iyah pa soalnya tanah untuk sawah akan digusur dijadikan pabrik,iyah pa soalnya tanah untuk sawah akan digusur dijadikan pabrik,-3,negative
"fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot, . wagu sih, tanah digusur untuk pembangunan tapi warga dianjurkan (dipaksa) menanam skala tanggung kepalang ra karuan di pot,-",fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot  wagu sih tanah digusur untuk pembangunan tapi warga dianjurkan dipaksa menanam skala tanggung kepalang ra karuan di pot,-10,negative
"@amdhikaa Nanti sawah ""digusur"" buat bikin ladang panel surya diprotes awkowkwok. Oiya penambangan bahan baku batre tenaga surya juga merusak lingkungan. Sampah? Apa asepmya juga gak merusak atmosfir? Awkowkwok",nanti sawah digusur buat bikin ladang panel surya diprotes awkowkwok oiya penambangan bahan baku batre tenaga surya juga merusak lingkungan sampah apa asepmya juga gak merusak atmosfir awkowkwok,-4,negative
@sobinfomedia Ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belom pernah mencicipi lahan sawah. Eh udh sering deh. Buat digusur. Xixixixi,ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belom pernah mencicipi lahan sawah eh udh sering deh buat digusur xixixixi,0,neutral
"Tapipak kebonna ge digusur jadi pabrik, sawah jadi jalan tol, pasir dikedukan. Pak tani nu asli kesulitan dapat pupuk lhoo",tapipak kebonna ge digusur jadi pabrik sawah jadi jalan tol pasir dikedukan pak tani nu asli kesulitan dapat pupuk lhoo,1,positive
"@CapuciniCincau @kegblgnunfaedh Bener banget😭😭😭 dipanggil depan rumah langsung gas main ke sawah😭😭 sekarang sawah udh digusur buat tol, kali udh di pagerin, jarang banjir jadi ga bisa nangkep ikan di jalan😭😭😭temen udh pada diluar pulau...😭😭😭😭😭😭😭😭😭😭😭😭(emotional segudang)",bener banget😭😭😭 dipanggil depan rumah langsung gas main ke sawah😭😭 sekarang sawah udh digusur buat tol kali udh di pagerin jarang banjir jadi ga bisa nangkep ikan di jalan😭😭😭temen udh pada diluar pulau😭😭😭😭😭😭😭😭😭😭😭😭emotional segudang,6,positive
"@alittlemessup Iya alhamdulillah banget, awalnya tuh penuh sawah deket rumah, tapi digusur sebagian, malah dibuat pergudangan gitu, nyesek sih😔",iya alhamdulillah banget awalnya tuh penuh sawah deket rumah tapi digusur sebagian malah dibuat pergudangan gitu nyesek sih😔,8,positive
"@schfess Btul stuju nder mau mendirikan panti kucing,punya team untuk bencana,dan mau beli banyak sawah tapi yg ngerjain sawahnya ttp pemilik aslinya ak cm mau ganti nama biar aman gak digusur pemerintah klo dah atas nama pnyaku trus mau melindungi habitat hewan skaligus hutan :)",btul stuju nder mau mendirikan panti kucingpunya team untuk bencanadan mau beli banyak sawah tapi yg ngerjain sawahnya ttp pemilik aslinya ak cm mau ganti nama biar aman gak digusur pemerintah klo dah atas nama pnyaku trus mau melindungi habitat hewan skaligus hutan,11,positive
"@SayaDajjaI @deno_sudarsono @diazmr @ardianpancaa Hahhahha makin ngarang, sawah unuk petani, dimana?, yg ada sawah petani digusur di ntb, hutan adat ditebang untuk perusahaan sawit kl sertifikasi tanah mah emang ada.",hahhahha makin ngarang sawah unuk petani dimana yg ada sawah petani digusur di ntb hutan adat ditebang untuk perusahaan sawit kl sertifikasi tanah mah emang ada,2,positive
"@SayaDajjaI @deno_sudarsono @diazmr @ardianpancaa Hahhaha naikkan, buat sawah di kalimantan yg gambut. Kethuilah tanah yg subur itu di jawa tepatnya jawa barat. Tanah petani, malah digusur untuk jl tol, untuk pabrik. ..ketika petani panen malah impor beras, pupuk dibuat susah, diersulit dg kartu2an.",hahhaha naikkan buat sawah di kalimantan yg gambut kethuilah tanah yg subur itu di jawa tepatnya jawa barat tanah petani malah digusur untuk jl tol untuk pabrik ketika petani panen malah impor beras pupuk dibuat susah diersulit dg kartuan,2,positive
di twttr kritis tentang sawah lahan banyak digusur jd cafe kopian resto. di ig foto story nongkrong di tempat2 itu.,di twttr kritis tentang sawah lahan banyak digusur jd cafe kopian resto di ig foto story nongkrong di tempat itu,-1,negative
"""Indonesia tanahnya luas, hasil buminya bagus dan makananya sudah pasti banyak"" belum tau aja ini neneknya jio, kalo sawah banyak digusur buat proyek~",indonesia tanahnya luas hasil buminya bagus dan makananya sudah pasti banyak belum tau aja ini neneknya jio kalo sawah banyak digusur buat proyek,6,positive
@noyaliberal eh tapi sumpah deket rumah di depok dulu ada sawah gedeee terus ada sungai juga bisa buat main tapi dah digusur jadi perumahan :(,eh tapi sumpah deket rumah di depok dulu ada sawah gedeee terus ada sungai juga bisa buat main tapi dah digusur jadi perumahan,7,positive
"Masyarakat dengan hutannya. Tapi, hutan harus dibabat untuk dijadikan sawah bagi petani. Petani dengan sawahnya.Tapi, sawah harus digusur untuk dijadikan pabrik bagi buruh. Tanpa hutan dibabat, tidak ada sawah. Tanpa sawah digusur, tidak ada pabrik.",masyarakat dengan hutannya tapi hutan harus dibabat untuk dijadikan sawah bagi petani petani dengan sawahnyatapi sawah harus digusur untuk dijadikan pabrik bagi buruh tanpa hutan dibabat tidak ada sawah tanpa sawah digusur tidak ada pabrik,7,positive
@jokowi Saya berharap Bpk Jokowi mendengar hati kami. Kami meminta tanah di kampung Sawah Jakarta Utara biar di bayar yang kena digusur buat jalan tol,saya berharap bpk jokowi mendengar hati kami kami meminta tanah di kampung sawah jakarta utara biar di bayar yang kena digusur buat jalan tol,3,positive
@MemeComicIndo Sawah - sawah di deket rumah gua digusur dijadiin perumahan rakyat..,sawah  sawah di deket rumah gua digusur dijadiin perumahan rakyat,5,positive
"sawah produktif digusur. produksi pindah di food estate. sawah jd resort tempat wisata. semua jd duit tp masyarakat setempat terseok, alam merana",sawah produktif digusur produksi pindah di food estate sawah jd resort tempat wisata semua jd duit tp masyarakat setempat terseok alam merana,1,positive
"Trus Tuan @jokowi bikin proyek food estate. Sementara, sawah yang ada digusur. Lah piye?",trus tuan  bikin proyek food estate sementara sawah yang ada digusur lah piye,-4,negative
@DK_Kartikaa @berlian_idris Padahal kampung dan sawah justru akan menampilkan suasana eksotik. Sayang harus digusur jika hanya untuk resort 👀,padahal kampung dan sawah justru akan menampilkan suasana eksotik sayang harus digusur jika hanya untuk resort 👀,3,positive
"@mickeyo80 @CNNIndonesia horang sawah aja digusur jadi pabrik, tambang dan bandara kok mau nemuin petani,",horang sawah aja digusur jadi pabrik tambang dan bandara kok mau nemuin petani,1,positive
@ridwankamil sawah lagi yang digusur....pak ?,sawah lagi yang digusurpak,0,neutral
"@msaid_didu Besok jg da jl tol solo - yogya Tp kasihan yg digusur, dlu bilang mau ganti untung, tp nyatanya jg haiiiiiiih Sawah 600rb / m2 Rumah 1jt / m2 Rumah 100m2 cman dpt 100jt, blum dibagi ma ahli waris lainnya, boro"" buat rumah, Ya Rabb",besok jg da jl tol solo  yogya tp kasihan yg digusur dlu bilang mau ganti untung tp nyatanya jg haiiiiiiih sawah rb  m rumah jt  m rumah m cman dpt jt blum dibagi ma ahli waris lainnya boro buat rumah ya rabb,16,positive
"Tanah, bangunan, sawah semuaha digusur....untuk vembangunan.......vembangunan berbayar",tanah bangunan sawah semuaha digusuruntuk vembangunanvembangunan berbayar,1,positive
@salonpashott Hutan dibabat sawah digusur,hutan dibabat sawah digusur,1,positive
Aku kini lelah Menunggu resah Menyesap kopi gelisah Di tepian sawah Menatap kerutan wajah Petani yang pasrah Digusur kejam penjajah Penindas penghisap darah Kaya juga hidup mewah Di istana megah Di ujung lembah Negara yang gemah ripah @PelangiPuisi,aku kini lelah menunggu resah menyesap kopi gelisah di tepian sawah menatap kerutan wajah petani yang pasrah digusur kejam penjajah penindas penghisap darah kaya juga hidup mewah di istana megah di ujung lembah negara yang gemah ripah,-9,negative
"Seharusnya dilakukan pemulihan thd hutan lindung yang sdh kehilangan fungsi lindung, bukan malah dialihfungsikan. Selain itu, kalau dalihnya ketahanan pangan, kenapa sawah dan lahan pangan lainnya yg sudah ada tidak dilindungi tetapi malah digusur dan dialihfungsikan.",seharusnya dilakukan pemulihan thd hutan lindung yang sdh kehilangan fungsi lindung bukan malah dialihfungsikan selain itu kalau dalihnya ketahanan pangan kenapa sawah dan lahan pangan lainnya yg sudah ada tidak dilindungi tetapi malah digusur dan dialihfungsikan,10,positive
"@chuyAjah sawah digusur nanam padi dimana? impor beras lagi,untung importir,importirnya cukong,mrk lagi kaya raya",sawah digusur nanam padi dimana impor beras lagiuntung importirimportirnya cukongmrk lagi kaya raya,-1,negative
"@IndomieRawon @namakubayangan @hilmipx @milyasa001 @andreasharsono @KorindoGroup Mas, coba cari info di Papua juga dibuka lahan buat persawahan. Tapi apa hasilnya? Gagal total. Jelas lahannya bukan untuk sawah. Yang jelas untuk sawah malah digusur jadi bandara.",mas coba cari info di papua juga dibuka lahan buat persawahan tapi apa hasilnya gagal total jelas lahannya bukan untuk sawah yang jelas untuk sawah malah digusur jadi bandara,-3,negative
"Pernah sampai dititik dimana next ""Bikin rumah di pinggir gunung dan sawah ya"" eeeh sawahnya digusur pemerintah hatinya juga ikut kegusur daah:(",pernah sampai dititik dimana next bikin rumah di pinggir gunung dan sawah ya eeeh sawahnya digusur pemerintah hatinya juga ikut kegusur daah,-3,negative
"@Zahra04458154 Bilang petani itu pahlawan,,tapi sering terjadi sawah sawah digusur..",bilang petani itu pahlawantapi sering terjadi sawah sawah digusur,-2,negative
@LokadataID Tapi lahan petani digusur paksa.. Jutaan hektare sawah dibuat food estate yang ngelola BUMN wowww,tapi lahan petani digusur paksa jutaan hektare sawah dibuat food estate yang ngelola bumn wowww,-1,negative
Jd kepikiran sawah yg ilang &amp,jd kepikiran sawah yg ilang amp,-1,negative
"@resep_JSR Dulu waktu saya kecil, waktu zaman awal pembangunan taman Yasmin Bogor sekitar th 1996, banyak penggusuran kebun &amp; sawah. Waktu itu saya &amp; kawan pernah minum air kelapa yang asli rasanya kaya bersoda mirip2 sprite Karena sudah di beli PT &amp; nunggu digusur jadi bebas buat siapa aja",dulu waktu saya kecil waktu zaman awal pembangunan taman yasmin bogor sekitar th  banyak penggusuran kebun amp sawah waktu itu saya amp kawan pernah minum air kelapa yang asli rasanya kaya bersoda mirip sprite karena sudah di beli pt amp nunggu digusur jadi bebas buat siapa aja,2,positive
"@sbyfess golek usaha to, sawah e digusur ngunu",golek usaha to sawah e digusur ngunu,-3,negative
@jugijakijug1 @sbyfess Sender nulis Sawah hyung bukan rumah yg digusur.,sender nulis sawah hyung bukan rumah yg digusur,1,positive
@CNNIndonesia Petani dimana pak? Sawah keluarga saya aja mau digusur untuk wisata 😢😭,petani dimana pak sawah keluarga saya aja mau digusur untuk wisata 😢😭,2,positive
Sawah habis digusur disuruh nyawah lagi,sawah habis digusur disuruh nyawah lagi,-3,negative
"Di kampungku, sawah digusur buat jalan raya. Yg nolak didatengin preman malem2 dan tidak dapat apa-apa. Di negara ini, bagi rakyat kecil, tidak ada jaminan apapun asetnya aman",di kampungku sawah digusur buat jalan raya yg nolak didatengin preman malem dan tidak dapat apaapa di negara ini bagi rakyat kecil tidak ada jaminan apapun asetnya aman,-8,negative
"@kompascom SAWAH NYA AJA DIGUSUR ,gmna mau jadi petani?",sawah nya aja digusur gmna mau jadi petani,1,positive
"Bukan masalah malu tapi sawah nya udh jadi tambang, pabrik, sama sawit. Trs gmna ngegarap sawahnya? Petani yg udh ada aja digusur kok. Duh",bukan masalah malu tapi sawah nya udh jadi tambang pabrik sama sawit trs gmna ngegarap sawahnya petani yg udh ada aja digusur kok duh,0,neutral
@CNNIndonesia Mau jadi petani gimana sawah ladang hutan digusur buat bangun jadi gedung.,mau jadi petani gimana sawah ladang hutan digusur buat bangun jadi gedung,-1,negative
Lahan sawah aja digusur gimana mau jd petani pak😒,lahan sawah aja digusur gimana mau jd petani pak😒,1,positive
"mok males, sawah e digusur engkok",mok males sawah e digusur engkok,-4,negative
"@elisa_jkt Ditempat aku sawah digusur dijadiin perumahan2 elit, trs kadang suka nyeletuk aja sama orang2 gini ""Yaudah biarin aja sawah tambah dikit, jadiin perumahan mulu. Biar nanti orang2 makan batu bata sama semen, udah pada gabutuh nasi palingan""",ditempat aku sawah digusur dijadiin perumahan elit trs kadang suka nyeletuk aja sama orang gini yaudah biarin aja sawah tambah dikit jadiin perumahan mulu biar nanti orang makan batu bata sama semen udah pada gabutuh nasi palingan,14,positive
"@elisa_jkt Disonansi kognitif. Diminta jadi petani, begitu jadi petani eh sawah digusur.",disonansi kognitif diminta jadi petani begitu jadi petani eh sawah digusur,-2,negative
Gk mau ah digusur ntr sawah gw,gk mau ah digusur ntr sawah gw,-2,negative
@CNNIndonesia Sawah nya aja digusur atas nama investasi :(,sawah nya aja digusur atas nama investasi,1,positive
"@txtdrpemerintah Gmna mau jadi petani klo sawah aja byk digusur, harga ketika panen murah, biaya perawatan taneman mahal, impor ekspor juga perlu dipertimbangkan!",gmna mau jadi petani klo sawah aja byk digusur harga ketika panen murah biaya perawatan taneman mahal impor ekspor juga perlu dipertimbangkan,11,positive
"Sawah digusur demi proyek negara, sekarang pemuda didorong untuk jadi petani. Tidak ada yang salah jadi petani. Yang salah adalah kebijakan bapak!",sawah digusur demi proyek negara sekarang pemuda didorong untuk jadi petani tidak ada yang salah jadi petani yang salah adalah kebijakan bapak,-4,negative
"Berkat video yang viral di malioboro yang ""mengatasnamakan"" warga jogja, menggelar 'aksi' berjoget bersama dengan latar belakang ' Jogo jogja', saya semakin yakin Malioboro adalah Way Of LIFE, warga Jogja. UMR rendah ga masalah, Sawah digusur Fine, Asal Malioboro tetep ono,",berkat video yang viral di malioboro yang mengatasnamakan warga jogja menggelar aksi berjoget bersama dengan latar belakang  jogo jogja saya semakin yakin malioboro adalah way of life warga jogja umr rendah ga masalah sawah digusur fine asal malioboro tetep ono,6,positive
"Kotaku ""Dari sebutan kota pelajar dirubah ke kota pariwisata"" bung yang dapat cuan dari istilah ""kota pariwisata cuma orang² kelas atas dan investor kaya raya, yang bisa beli pantai dan lokasi² ini itu. Lanek sek kang macul, kang tandur, karo kang lep sawah yo mung digusur.",kotaku dari sebutan kota pelajar dirubah ke kota pariwisata bung yang dapat cuan dari istilah kota pariwisata cuma orang² kelas atas dan investor kaya raya yang bisa beli pantai dan lokasi² ini itu lanek sek kang macul kang tandur karo kang lep sawah yo mung digusur,-6,negative
