conversation_id,date,tweet,text_clean,text_preprocessed
1.40E+18,2021-05-25 8:04:07,@irhamnapermana @msaid_didu Hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,"['hutan', 'lahan', 'tani', 'sawah', 'jadi', 'pabrik', 'gusur', 'jalan', 'tol']"
1.40E+18,2021-05-25 7:42:47,Proyek food estate di Kalimantan mau buka hutan gambut jadi sawah Sementara sawah &amp,proyek food estate di kalimantan mau buka hutan gambut jadi sawah sementara sawah amp,"['proyek', 'food', 'estate', 'kalimantan', 'buka', 'hutan', 'gambut', 'sawah', 'sawah', 'amp']"
1.40E+18,2021-05-22 21:27:15,"Telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis. Sawah dan kebun di kampung digusur menjadi beton, maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi2 tetangga.",telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis sawah dan kebun di kampung digusur menjadi beton maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi tetangga,"['asai', 'modal', 'kapitalis', 'sawah', 'kebun', 'kampung', 'gusur', 'beton', 'tdk', 'pilih', 'rantau', 'kota', 'kejar', 'mimpi', 'semu', 'keluarga', 'bahagia', 'ala', 'anak', 'metropolitan', 'yg', 'iklan', 'tipi', 'tetangga']"
1.39E+18,2021-05-03 10:58:24,Dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawah-sawah hancur digusur sementara lapar pada anakmu tak juga kendur?,dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawahsawah hancur digusur sementara lapar pada anakmu tak juga kendur,"['mana', 'kau', 'petik', 'kelak', 'padi', 'usir', 'lengang', 'lambung', 'kau', 'ikhlas', 'sawahsawah', 'hancur', 'gusur', 'lapar', 'anak', 'kendur']"
1.39E+18,2021-04-27 21:40:00,"@RAMujiyono Tak hanya buih jadi permadani. Pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa. Capung2 yg beterbangan, berburu belalang tatkala hujan, dan kunang2 yg menghiasi malam. Tp itu dulu, kini tinggal kenangan. Sekarang sawahnya sudah digusur jadi perumahan.",tak hanya buih jadi permadani pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa capung yg beterbangan berburu belalang tatkala hujan dan kunang yg menghiasi malam tp itu dulu kini tinggal kenangan sekarang sawahnya sudah digusur jadi perumahan,"['buih', 'permadani', 'pandang', 'pohon', 'padi', 'yg', 'hijau', 'hampar', 'sawah', 'laksana', 'permadani', 'raksasa', 'capung', 'yg', 'bangan', 'buru', 'belalang', 'tatkala', 'hujan', 'nang', 'yg', 'hias', 'malam', 'tp', 'tinggal', 'kenang', 'sawah', 'gusur', 'rumah']"
1.39E+18,2021-04-27 15:22:11,"Bagaimana kita bisa hidup dan beranak-pinak dengan tenang, Sayang? Ketika negara tak pernah memberikan ketenangan sama sekali kepada kita. Sawah-sawah diganti pabrik, hutan-hutan dijadikan perkebunan sawit, desa-desa digusur untuk pembangunan infrastruktur.",bagaimana kita bisa hidup dan beranakpinak dengan tenang sayang ketika negara tak pernah memberikan ketenangan sama sekali kepada kita sawahsawah diganti pabrik hutanhutan dijadikan perkebunan sawit desadesa digusur untuk pembangunan infrastruktur,"['hidup', 'beranakpinak', 'tenang', 'sayang', 'negara', 'tenang', 'sawahsawah', 'ganti', 'pabrik', 'hutanhutan', 'jadi', 'kebun', 'sawit', 'desadesa', 'gusur', 'bangun', 'infrastruktur']"
1.37E+18,2021-04-26 19:35:52,"@memijin_ Mana ada dibutuhin, sawah ae habis digusur dijadii pemukiman. Beras terbaik Indonesia mah di impor, yg kita makan yg sisa gk kejual ke luar 🤣🤣",mana ada dibutuhin sawah ae habis digusur dijadii pemukiman beras terbaik indonesia mah di impor yg kita makan yg sisa gk kejual ke luar 🤣🤣,"['dibutuhin', 'sawah', 'ae', 'habis', 'gusur', 'jadi', 'mukim', 'beras', 'baik', 'indonesia', 'mah', 'impor', 'yg', 'makan', 'yg', 'sisa', 'gk', 'jual', '']"
1.38E+18,2021-04-21 20:10:15,"@MSApunya @PutraWadapi Sawah akan digusur jadi berubah fungsi, berasnya di pindah ke vietnam",sawah akan digusur jadi berubah fungsi berasnya di pindah ke vietnam,"['sawah', 'gusur', 'ubah', 'fungsi', 'beras', 'pindah', 'vietnam']"
1.38E+18,2021-04-20 19:52:40,"@nanisentyaa Tidak dipatahkan, hanya disobek, disemplak, digusur, dibejek-bejek, kemudian dibubuykeun ke sawah",tidak dipatahkan hanya disobek disemplak digusur dibejekbejek kemudian dibubuykeun ke sawah,"['patah', 'sobek', 'semplak', 'gusur', 'dibejekbejek', 'dibubuykeun', 'sawah']"
1.38E+18,2021-04-15 9:10:13,"Sawah digusur, kalo warganya gamau di paksa, abis itu dibuat jalan tol. Jalan tol katanya untuk memudahkan mobilisasi, lama-lama semua lahan pertanian buat memudahkan mobilisasi pengiriman. Nah lahan taninya digusur. Iya abis itu kita semua makan aspal. Wassalam. wkwkwkwk",sawah digusur kalo warganya gamau di paksa abis itu dibuat jalan tol jalan tol katanya untuk memudahkan mobilisasi lamalama semua lahan pertanian buat memudahkan mobilisasi pengiriman nah lahan taninya digusur iya abis itu kita semua makan aspal wassalam wkwkwkwk,"['sawah', 'gusur', 'kalo', 'warga', 'gamau', 'paksa', 'abis', 'jalan', 'tol', 'jalan', 'tol', 'mudah', 'mobilisasi', 'lamalama', 'lahan', 'tani', 'mudah', 'mobilisasi', 'kirim', 'lahan', 'tani', 'gusur', 'iya', 'abis', 'makan', 'aspal', 'wassalam', 'wkwkwkwk']"
1.38E+18,2021-04-06 21:58:20,"Alam dibabat, sawah digusur. Terus kalau anak-anak mau ✨back to nature✨ Sekolah alam menyediakan fasilitas dengan bayar 5 juta per bulan 💀💀💀",alam dibabat sawah digusur terus kalau anakanak mau ✨back to nature✨ sekolah alam menyediakan fasilitas dengan bayar  juta per bulan 💀💀💀,"['alam', 'babat', 'sawah', 'gusur', 'anakanak', 'back', 'to', 'nature', 'sekolah', 'alam', 'sedia', 'fasilitas', 'bayar', 'juta', '']"
1.38E+18,2021-04-05 15:37:39,"Nanti sawah baru digusur lagi buat jadi hunian, siklusnya berulang lagi. Makin lama hutannya makin habis, oksigen makin menipis. Pepohonan hijau jadi bagian dari sejarah, lalu penduduk bumi pun memusnah. Hilihhh.. Takutt 😢",nanti sawah baru digusur lagi buat jadi hunian siklusnya berulang lagi makin lama hutannya makin habis oksigen makin menipis pepohonan hijau jadi bagian dari sejarah lalu penduduk bumi pun memusnah hilihhh takutt 😢,"['sawah', 'gusur', 'huni', 'siklus', 'ulang', 'hutan', 'habis', 'oksigen', 'tip', 'pohon', 'hijau', 'sejarah', 'duduk', 'bumi', 'musnah', 'hilihhh', 'takutt', '']"
1.38E+18,2021-03-31 15:40:20,@Damarja54327898 @WPradhika @Priagarislurus @VIVAcoid thats ((GA TERLALU PAHAM)) 🤭🤭🤭 Ok then.. itu sawah digusur dijadikan bandara akan mengurangi pengangguran. ada datanya? kasi saya dong.. gusur sawah aja itu udah bikin pengangguran baru.,thats ga terlalu paham 🤭🤭🤭 ok then itu sawah digusur dijadikan bandara akan mengurangi pengangguran ada datanya kasi saya dong gusur sawah aja itu udah bikin pengangguran baru,"['thats', 'ga', 'paham', '', 'ok', 'then', 'sawah', 'gusur', 'jadi', 'bandara', 'kurang', 'anggur', 'data', 'kasi', 'gusur', 'sawah', 'aja', 'udah', 'bikin', 'anggur']"
1.38E+18,2021-03-31 12:38:58,"@masjokose @kompascom Bonngkar lg, jadikan sawah u petani yg digusur ...",bonngkar lg jadikan sawah u petani yg digusur,"['bonngkar', 'lg', 'jadi', 'sawah', 'u', 'tani', 'yg', 'gusur']"
1.38E+18,2021-03-31 11:45:48,"@Quvvatt Berhektar-hektar sawah digusur, anggaran hmpir 3 T, ujung2nya hanya buat jdi bengkel sj...semuanya berawal dri baliho pricetag outfit seseorg",berhektarhektar sawah digusur anggaran hmpir  t ujungnya hanya buat jdi bengkel sjsemuanya berawal dri baliho pricetag outfit seseorg,"['berhektarhektar', 'sawah', 'gusur', 'anggar', 'hmpir', 't', 'ujung', 'jdi', 'bengkel', 'sjsemuanya', 'dri', 'baliho', 'pricetag', 'outfit', 'seseorg']"
1.38E+18,2021-03-31 11:25:37,"@HukumDan Pdhl kalo dimisalkan tu duit buat pembangunan kan bisa buat bayar utang negara yak, lah ini bikin bandara yg ujung²nya jadi bengkel dan sekian ribu hektar sawah digusur, masyarakat sekitar pun malah kena imbasnya",pdhl kalo dimisalkan tu duit buat pembangunan kan bisa buat bayar utang negara yak lah ini bikin bandara yg ujung²nya jadi bengkel dan sekian ribu hektar sawah digusur masyarakat sekitar pun malah kena imbasnya,"['pdhl', 'kalo', 'tu', 'duit', 'bangun', 'bayar', 'utang', 'negara', 'yak', 'bikin', 'bandara', 'yg', 'ujung nya', 'bengkel', 'sekian', 'ribu', 'hektar', 'sawah', 'gusur', 'masyarakat', 'kena', 'imbas']"
1.38E+18,2021-03-31 10:48:29,@nindytapu @mutajir_mohamat @hipohan Coba mbak Food estate punya sopo? Kalau bekas sawah yg digusur di Kertajati pasti punya rakyat. Maksude ngono...hak rakyat dimetamorfosis milik segelintir.,coba mbak food estate punya sopo kalau bekas sawah yg digusur di kertajati pasti punya rakyat maksude ngonohak rakyat dimetamorfosis milik segelintir,"['coba', 'mbak', 'food', 'estate', 'sopo', 'bekas', 'sawah', 'yg', 'gusur', 'kertajati', 'rakyat', 'maksude', 'ngonohak', 'rakyat', 'metamorfosis', 'milik', 'gelintir']"
1.38E+18,2021-03-31 6:54:46,@Dandhy_Laksono 5000 hektare sawah digusur....,hektare sawah digusur,"['hektare', 'sawah', 'gusur']"
1.38E+18,2021-03-31 0:45:27,@RachlanNashidik Dulu sawah digusur jd bandara yg ga laku lalu berubah jd bengkel,dulu sawah digusur jd bandara yg ga laku lalu berubah jd bengkel,"['sawah', 'gusur', 'jd', 'bandara', 'yg', 'ga', 'laku', 'ubah', 'jd', 'bengkel']"
1.38E+18,2021-03-30 16:52:48,"""Nagara Rimba Nusa"" tapi rimbanya dibalak jadi sawah baru. Sementara sawah yang ada digusur jadi pemukiman baru.",nagara rimba nusa tapi rimbanya dibalak jadi sawah baru sementara sawah yang ada digusur jadi pemukiman baru,"['nagara', 'rimba', 'nusa', 'rimba', 'balak', 'sawah', 'sawah', 'gusur', 'mukim']"
1.38E+18,2021-03-27 23:34:42,mungkin itu burung asalanya dari sawah sebelah yang digusur,mungkin itu burung asalanya dari sawah sebelah yang digusur,"['burung', 'asalanya', 'sawah', 'belah', 'gusur']"
1.38E+18,2021-03-27 12:18:25,@ilysmtihm Sujeong menginjak tanah sawah sebelum lahannya digusur oleh jo[sebagian teks hilang],sujeong menginjak tanah sawah sebelum lahannya digusur oleh josebagian teks hilang,"['sujeong', 'injak', 'tanah', 'sawah', 'lahan', 'gusur', 'josebagian', 'teks', 'hilang']"
1.37E+18,2021-03-22 8:24:13,@ecosocrights Sumber karbohidrat di Indonesia jenisnya banyak. Tapi kok seakan-akan beras itu paling diistimewakan? Bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah.,sumber karbohidrat di indonesia jenisnya banyak tapi kok seakanakan beras itu paling diistimewakan bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah,"['sumber', 'karbohidrat', 'indonesia', 'jenis', 'seakanakan', 'beras', 'istimewa', 'jarang', 'habitat', 'sumber', 'karbohidrat', 'gusur', 'sawah']"
1.37E+18,2021-03-20 11:19:27,Sawah digusur padi diimpor,sawah digusur padi diimpor,"['sawah', 'gusur', 'padi', 'impor']"
1.37E+18,2021-03-02 14:57:47,"@bobsingadikrama Gimana mau bertani, kalau sawah digusur jadi pabrik.",gimana mau bertani kalau sawah digusur jadi pabrik,"['gimana', 'tan', 'sawah', 'gusur', 'pabrik']"
1.37E+18,2021-02-28 22:31:27,@kementan Untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab Pekalongan jawa Tengah seluas 40 hektare akan digusur dijadikan pabrik,untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab pekalongan jawa tengah seluas  hektare akan digusur dijadikan pabrik,"['tingkat', 'tani', 'sawah', 'lahan', 'produktif', 'desa', 'desa', 'tengeng', 'wetan', 'camat', 'siwalan', 'kab', 'kalong', 'jawa', 'luas', 'hektare', 'gusur', 'jadi', 'pabrik']"
1.36E+18,2021-02-24 20:26:11,"@PutraWadapi Ngecek sawah buat digusur,yg udah 2 mah gtu sih 🤣🤣🤣",ngecek sawah buat digusuryg udah  mah gtu sih 🤣🤣🤣,"['ngecek', 'sawah', 'digusuryg', 'udah', 'mah', 'gtu', 'sih', '']"
1.36E+18,2021-02-24 20:07:11,Ayo nak anak agroteknologi bikin sawah indoor dlam gedung biar ga gampang digusur,ayo nak anak agroteknologi bikin sawah indoor dlam gedung biar ga gampang digusur,"['ayo', 'nak', 'anak', 'agroteknologi', 'bikin', 'sawah', 'indoor', 'dlam', 'gedung', 'biar', 'ga', 'gampang', 'gusur']"
1.36E+18,2021-02-19 11:05:45,@ridhomulki Mereka takut utk kesana. Krn blm familiar. Mentalitas juga kurang ntr kalo kurang ilmu. Paling bener beli sawah lagi yg kira2 ada minyak. Ntr kalo digusur lg dpt uang lg😂,mereka takut utk kesana krn blm familiar mentalitas juga kurang ntr kalo kurang ilmu paling bener beli sawah lagi yg kira ada minyak ntr kalo digusur lg dpt uang lg😂,"['takut', 'utk', 'kesana', 'krn', 'blm', 'familiar', 'mentalitas', 'ntr', 'kalo', 'ilmu', 'bener', 'beli', 'sawah', 'yg', 'minyak', 'ntr', 'kalo', 'gusur', 'lg', 'dpt', 'uang', 'lg']"
1.36E+18,2021-02-17 20:33:26,"@msaid_didu Oh Indonesiaku, Tanah Subur Rakyat Nganggur Sawah Ladang pun digusur Tanam Jagung Tumbuh Gedung Tanam Padi Tumbuh Korupsi",oh indonesiaku tanah subur rakyat nganggur sawah ladang pun digusur tanam jagung tumbuh gedung tanam padi tumbuh korupsi,"['oh', 'indonesia', 'tanah', 'subur', 'rakyat', 'nganggur', 'sawah', 'ladang', 'gusur', 'tanam', 'jagung', 'tumbuh', 'gedung', 'tanam', 'padi', 'tumbuh', 'korupsi']"
1.36E+18,2021-02-17 1:41:17,"Jadi inget cerita dari antah berantah. Satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah. Kemudian karena uang ganti rugi selalu dinaikan maka lama2 warga desa luluh dan mau digusur. Ada satu warga yang kekeuh untuk mempertahankan rumah dan sawahnya,lalu",jadi inget cerita dari antah berantah satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah kemudian karena uang ganti rugi selalu dinaikan maka lama warga desa luluh dan mau digusur ada satu warga yang kekeuh untuk mempertahankan rumah dan sawahnyalalu,"['inget', 'cerita', 'antah', 'antah', 'desa', 'tentang', 'bebas', 'lahan', 'sawah', 'rumah', 'uang', 'ganti', 'rugi', 'naik', 'warga', 'desa', 'luluh', 'gusur', 'warga', 'kekeuh', 'tahan', 'rumah', 'sawahnyalalu']"
1.36E+18,2021-02-14 19:33:54,Jaman pak harto malah 3x dalam setahun pak jaman pakharto Indonesia swasembada pangan pak harto blusukan kesawah berad expor sekarang jaman bpk blusukan kesawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tlg jangan tol aja di perhatikan,jaman pak harto malah x dalam setahun pak jaman pakharto indonesia swasembada pangan pak harto blusukan kesawah berad expor sekarang jaman bpk blusukan kesawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tlg jangan tol aja di perhatikan,"['jaman', 'harto', 'x', 'tahun', 'jaman', 'pakharto', 'indonesia', 'swasembada', 'pangan', 'harto', 'blusukan', 'sawah', 'rad', 'expor', 'jaman', 'bpk', 'blusukan', 'sawah', 'beras', 'impor', 'sawah', 'gusur', 'hidup', 'gantung', 'hasil', 'tani', 'tlg', 'tol', 'aja', 'perhati']"
1.36E+18,2021-02-13 21:59:44,@RisdaNurWidia @skatebanana_ Skate tengah sawah yg terancam digusur,skate tengah sawah yg terancam digusur,"['skate', 'sawah', 'yg', 'ancam', 'gusur']"
1.36E+18,2021-02-09 11:57:13,Wah dukung PLTA toh. Nanti kalau desa dan sawah warga digusur buat dilelepin setuju juga ya,wah dukung plta toh nanti kalau desa dan sawah warga digusur buat dilelepin setuju juga ya,"['dukung', 'plta', 'desa', 'sawah', 'warga', 'gusur', 'dilelepin', 'tuju', 'ya']"
1.36E+18,2021-02-06 7:37:50,kalau tambakrejo ga digusur mungkin sawah besar udah kerendem lagi,kalau tambakrejo ga digusur mungkin sawah besar udah kerendem lagi,"['tambakrejo', 'ga', 'gusur', 'sawah', 'udah', 'kerendem']"
1.35E+18,2021-02-05 21:42:11,"@geloraco Kaya buat orang2ngan sawah di tengah laut aja bu? Kata ""abdur stand up"" bukn kata saya. Tp emang capil udah digusur yah sampe turun tangan sndiri?..",kaya buat orangngan sawah di tengah laut aja bu kata abdur stand up bukn kata saya tp emang capil udah digusur yah sampe turun tangan sndiri,"['kaya', 'orangngan', 'sawah', 'laut', 'aja', 'bu', 'abdur', 'stand', 'up', 'bukn', 'tp', 'emang', 'capil', 'udah', 'gusur', 'yah', 'sampe', 'turun', 'tangan', 'sndiri']"
1.36E+18,2021-02-05 15:09:50,@ridwankamil Iyah pa soalnya tanah untuk sawah akan digusur dijadikan pabrik,iyah pa soalnya tanah untuk sawah akan digusur dijadikan pabrik,"['iyah', 'pa', 'tanah', 'sawah', 'gusur', 'jadi', 'pabrik']"
1.36E+18,2021-02-05 11:48:03,"fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot, . wagu sih, tanah digusur untuk pembangunan tapi warga dianjurkan (dipaksa) menanam skala tanggung kepalang ra karuan di pot,-",fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot  wagu sih tanah digusur untuk pembangunan tapi warga dianjurkan dipaksa menanam skala tanggung kepalang ra karuan di pot,"['fenomena', 'gusur', 'tanah', 'tani', 'tanam', 'padi', 'sepele', 'nama', 'sawah', 'suruh', 'tanam', 'pot', 'wagu', 'sih', 'tanah', 'gusur', 'bangun', 'warga', 'anjur', 'paksa', 'tanam', 'skala', 'tanggung', 'kepalang', 'ra', 'karuan', 'pot']"
1.36E+18,2021-02-03 19:20:50,"@amdhikaa Nanti sawah ""digusur"" buat bikin ladang panel surya diprotes awkowkwok. Oiya penambangan bahan baku batre tenaga surya juga merusak lingkungan. Sampah? Apa asepmya juga gak merusak atmosfir? Awkowkwok",nanti sawah digusur buat bikin ladang panel surya diprotes awkowkwok oiya penambangan bahan baku batre tenaga surya juga merusak lingkungan sampah apa asepmya juga gak merusak atmosfir awkowkwok,"['sawah', 'gusur', 'bikin', 'ladang', 'panel', 'surya', 'protes', 'awkowkwok', 'oiya', 'tambang', 'bahan', 'baku', 'batre', 'tenaga', 'surya', 'rusak', 'lingkung', 'sampah', 'asepmya', 'gak', 'rusak', 'atmosfir', 'awkowkwok']"
1.36E+18,2021-02-03 18:49:31,@sobinfomedia Ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belom pernah mencicipi lahan sawah. Eh udh sering deh. Buat digusur. Xixixixi,ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belom pernah mencicipi lahan sawah eh udh sering deh buat digusur xixixixi,"['perintah', 'sok', 'tau', 'tani', 'bom', 'cicip', 'lahan', 'sawah', 'eh', 'udh', 'deh', 'gusur', 'xixixixi']"
1.35E+18,2021-01-27 22:01:03,"Tapipak kebonna ge digusur jadi pabrik, sawah jadi jalan tol, pasir dikedukan. Pak tani nu asli kesulitan dapat pupuk lhoo",tapipak kebonna ge digusur jadi pabrik sawah jadi jalan tol pasir dikedukan pak tani nu asli kesulitan dapat pupuk lhoo,"['tapipak', 'kebonna', 'ge', 'gusur', 'pabrik', 'sawah', 'jalan', 'tol', 'pasir', 'keduk', 'tani', 'nu', 'asli', 'sulit', 'pupuk', 'lhoo']"
1.35E+18,2021-01-22 20:21:21,"@CapuciniCincau @kegblgnunfaedh Bener banget😭😭😭 dipanggil depan rumah langsung gas main ke sawah😭😭 sekarang sawah udh digusur buat tol, kali udh di pagerin, jarang banjir jadi ga bisa nangkep ikan di jalan😭😭😭temen udh pada diluar pulau...😭😭😭😭😭😭😭😭😭😭😭😭(emotional segudang)",bener banget😭😭😭 dipanggil depan rumah langsung gas main ke sawah😭😭 sekarang sawah udh digusur buat tol kali udh di pagerin jarang banjir jadi ga bisa nangkep ikan di jalan😭😭😭temen udh pada diluar pulau😭😭😭😭😭😭😭😭😭😭😭😭emotional segudang,"['bener', 'banget', 'panggil', 'rumah', 'langsung', 'gas', 'main', 'sawah', 'sawah', 'udh', 'gusur', 'tol', 'kali', 'udh', 'pagerin', 'jarang', 'banjir', 'ga', 'nangkep', 'ikan', 'jalan temen', 'udh', 'luar', 'pulau emotional', 'gudang']"
1.35E+18,2021-01-17 21:24:48,"@alittlemessup Iya alhamdulillah banget, awalnya tuh penuh sawah deket rumah, tapi digusur sebagian, malah dibuat pergudangan gitu, nyesek sih😔",iya alhamdulillah banget awalnya tuh penuh sawah deket rumah tapi digusur sebagian malah dibuat pergudangan gitu nyesek sih😔,"['iya', 'alhamdulillah', 'banget', 'tuh', 'penuh', 'sawah', 'deket', 'rumah', 'gusur', 'gudang', 'gitu', 'nyesek', 'sih']"
