,Unnamed: 0,conversation_id,date,tweet,tweetbersih,translated,sentiment,,,,,,,,,,,,,
10,10,1.4E+018,2021-05-25 8:04:07,Hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,Hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,"Forests are turned into rice fields, instead they are turned into factories or evicted for toll roads",neutral,,,,,,,,,,,,,
11,11,1.4E+018,2021-05-25 7:42:47,Proyek food estate di Kalimantan mau buka hutan gambut jadi sawah Sementara sawah  amp,Proyek food estate di Kalimantan mau buka hutan gambut jadi sawah Sementara sawah,"Food estate project in Kalimantan wants to clear peat forest into paddy fields, while rice fields are amp . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",positive,,,,,,,,,,,,,
12,12,1.4E+018,2021-05-22 21:27:15,Telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis  Sawah dan kebun di kampung digusur menjadi beton  maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi  tetangga,Telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis Sawah dan kebun di kampung digusur menjadi beton maka tidak ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tv  tetangga,"It has been controlled by investors or in this case is a capitalist. Rice fields and gardens in the village have been evicted into concrete, so there is no choice but to migrate to the city chasing the pseudo-dream of a happy family like a metropolitan child advertised in a neighboring tipi",positive,,,,,,,,,,,,,
13,13,1.39E+018,2021-05-03 10:58:24,Dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawah sawah hancur digusur sementara lapar pada anakmu tak juga kendur,Dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawah sawah hancur digusur sementara lapar pada anakmu tak juga kendur,Where will you pick the rice that drives away empty from the stomach if you allow the destroyed rice fields to be evicted while being hungry for your child doesn't slack,negative,,,,,,,,,,,,,
14,14,1.39E+018,2021-04-27 21:40:00,Tak hanya buih jadi permadani  Pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa  Capung  yg beterbangan  berburu belalang tatkala hujan  dan kunang  yg menghiasi malam  Tp itu dulu  kini tinggal kenangan  Sekarang sawahnya sudah digusur jadi perumahan,Tak hanya buih jadi permadani Pemandangan pohon padi yang hijau terhampar di sawah laksana permadani raksasa Capung yang berterbangan  berburu belalang tatkala hujan dan kunang  yang menghiasi malam Tapi itu dulu kini tinggal kenangan Sekarang sawahnya sudah digusur jadi perumahan,Not only foam becomes a rug. The view of green rice trees spread across the rice fields like a giant rug. Dragonflies fly around hunting for grasshoppers when it rains and fireflies adorn the night. But that was now a memory. Now the rice fields have been evicted into housing.,positive,,,,,,,,,,,,,
15,15,1.39E+018,2021-04-27 15:22:11,Bagaimana kita bisa hidup dan beranak pinak dengan tenang  Sayang  Ketika negara tak pernah memberikan ketenangan sama sekali kepada kita  Sawah sawah diganti pabrik  hutan hutan dijadikan perkebunan sawit  desa desa digusur untuk pembangunan infrastruktur,Bagaimana kita bisa hidup dan beranak pinak dengan tenang  Sayang  Ketika negara tak pernah memberikan ketenangan sama sekali kepada kita  Sawah sawah diganti pabrik  hutan hutan dijadikan perkebunan sawit  desa desa digusur untuk pembangunan infrastruktur,"How can we live and reproduce peacefully. Unfortunately, when the state has never given us peace at all, rice fields have been replaced by factories, forest forests, and turned into oil palm plantations. Villages, villages, have been evicted for infrastructure development.",positive,,,,,,,,,,,,,
16,16,1.37E+018,2021-04-26 19:35:52,Mana ada dibutuhin  sawah ae habis digusur dijadii pemukiman  Beras terbaik Indonesia mah di impor  yg kita makan yg sisa gk kejual ke luar,Mana ada dibutuhkan sawah habis digusur dijadikan pemukiman Beras terbaik Indonesia diimpor yang kita makan yang sisa tidak terjual ke luar,"Where is the need for rice fields, after they have been evicted to become settlements, Indonesia's best rice is imported, what we eat, the rest is not sold outside",positive,,,,,,,,,,,,,
17,17,1.38E+018,2021-04-21 20:10:15,Sawah akan digusur jadi berubah fungsi  berasnya di pindah ke vietnam,Sawah akan digusur jadi berubah fungsi  berasnya dipindah ke vietnam,The rice fields will be evicted so that the function of the rice will be moved to Vietnam,neutral,,,,,,,,,,,,,
18,18,1.38E+018,2021-04-20 19:52:40,Tidak dipatahkan  hanya disobek  disemplak  digusur  dibejek bejek  kemudian dibubuykeun ke sawah,Tidak dipatahkan hanya disobek disemplak digusur dibejek bejek  kemudian dibubuhkan ke sawah,"It's not broken, it's just torn apart, it's slashed, it's evicted, it's a bejek, then it's bubuykeun into the rice fields.",negative,,,,,,,,,,,,,
19,19,1.38E+018,2021-04-15 9:10:13,Sawah digusur  kalo warganya gamau di paksa  abis itu dibuat jalan tol  Jalan tol katanya untuk memudahkan mobilisasi  lama lama semua lahan pertanian buat memudahkan mobilisasi pengiriman  Nah lahan taninya digusur  Iya abis itu kita semua makan aspal  Wassalam  wkwkwkwk,Sawah digusur  kalau warganya tidak mau dipaksa abis itu dibuat jalan tol Jalan tol katanya untuk memudahkan mobilisasi  lama lama semua lahan pertanian buat memudahkan mobilisasi pengiriman lahan taninya digusur abis itu kita semua makan aspal,"The rice fields are evicted if the residents don't want to be forced, after that a toll road is made. The toll road is said to facilitate the long-term mobilization of all agricultural land to facilitate the mobilization of shipments. Now, the farmland is evicted. Yes, after that we all eat asphalt.",positive,,,,,,,,,,,,,
20,20,1.38E+018,2021-04-06 21:58:20,Alam dibabat  sawah digusur  Terus kalau anak anak mau  back to nature  Sekolah alam menyediakan fasilitas dengan bayar   juta per bulan,Alam dibabat  sawah digusur  Terus kalau anak anak mau Sekolah alam menyediakan fasilitas dengan bayar  berjuta juta per bulan,"Nature is being cleared, rice fields are being evicted. If the children want to go back to nature, the school of nature provides facilities that pay millions per month",positive,,,,,,,,,,,,,
21,21,1.38E+018,2021-04-05 15:37:39,Nanti sawah baru digusur lagi buat jadi hunian  siklusnya berulang lagi  Makin lama hutannya makin habis  oksigen makin menipis  Pepohonan hijau jadi bagian dari sejarah  lalu penduduk bumi pun memusnah  Hilihhh   Takutt,Nanti sawah baru digusur lagi buat jadi hunian  siklusnya berulang lagi  Makin lama hutannya makin habis  oksigen makin menipis  Perpohonan hijau jadi bagian dari sejarah  lalu penduduk bumi pun memusnah Takutt,"Later the new rice fields will be evicted again to become shelter the cycle repeats again The longer the forest is running out of oxygen, the more depleted the green trees are part of history and the earth's inhabitants are destroying it Hilihhh Fear",negative,,,,,,,,,,,,,
22,22,1.38E+018,2021-03-31 15:40:20,thats   GA TERLALU PAHAM       Ok then   itu sawah digusur dijadikan bandara akan mengurangi pengangguran  ada datanya  kasi saya dong   gusur sawah aja itu udah bikin pengangguran baru,tidak terlalu paham itu sawah digusur dijadikan bandara akan mengurangi pengangguran ada datanya kasih saya dong  gusur sawah aja itu udah bikin pengangguran baru,"thats GA TOO UNDERSTAND Ok then the rice fields being evicted into airports will reduce unemployment, there is data, thank you, just evict the rice fields, it's already created new unemployment. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",negative,,,,,,,,,,,,,
23,23,1.38E+018,2021-03-31 12:38:58,Bonngkar lg  jadikan sawah u petani yg digusur,Bongkar lagi  jadikan sawah petani yg digusur,Demolish again to make rice fields for farmers who were evicted,neutral,,,,,,,,,,,,,
24,24,1.38E+018,2021-03-31 11:45:48,Berhektar hektar sawah digusur  anggaran hmpir   T  ujung nya hanya buat jdi bengkel sj   semuanya berawal dri baliho pricetag outfit seseorg,Berhektar hektar sawah digusur  anggaran hampir triliun ujungnya hanya buat jadi bengkel saja semuanya berawal dari baliho pricetag outfit seseorang,"Hectare hectares of rice fields were evicted by almost T, the end was only to become a workshop, it all started from someone's outfit price tag billboard",neutral,,,,,,,,,,,,,
25,25,1.38E+018,2021-03-31 11:25:37,Pdhl kalo dimisalkan tu duit buat pembangunan kan bisa buat bayar utang negara yak  lah ini bikin bandara yg ujung nya jadi bengkel dan sekian ribu hektar sawah digusur  masyarakat sekitar pun malah kena imbasnya,Padahal kalau dimisalkan itu duit buat pembangunan bisa buat bayar utang negara ini bikin bandara yang ujungnya jadi bengkel dan sekian ribu hektar sawah digusur masyarakat sekitar pun malah kena imbasnya,"Pdhl, for example, if the money for development can be used to pay the state debt, this is making an airport that ends up being a workshop and thousands of hectares of rice fields being evicted by the surrounding community.",negative,,,,,,,,,,,,,
26,26,1.38E+018,2021-03-31 10:48:29,Coba mbak Food estate punya sopo  Kalau bekas sawah yg digusur di Kertajati pasti punya rakyat  Maksude ngono   hak rakyat dimetamorfosis milik segelintir,Coba mbak Food estate punya siapa Kalau bekas sawah yg digusur di Kertajati pasti punya rakyat  Maksudnya hak rakyat dimetamorfosis milik segelintir,"Try it, Ms. Food estate has a sopo If the former rice fields that were evicted in Kertajati must belong to the people, I mean, people's rights have been metamorphosed into the property of a few",neutral,,,,,,,,,,,,,
27,27,1.38E+018,2021-03-31 6:54:46,hektare sawah digusur,hektare sawah digusur,hectares of rice fields evicted,neutral,,,,,,,,,,,,,
28,28,1.38E+018,2021-03-31 0:45:27,Dulu sawah digusur jd bandara yg ga laku lalu berubah jd bengkel,Dulu sawah digusur jadi bandara yang tidak laku lalu berubah jadi bengkel,In the past the rice fields were evicted to become an airport that didn't sell and then turned into a workshop,neutral,,,,,,,,,,,,,
29,29,1.38E+018,2021-03-30 16:52:48,Nagara Rimba Nusa  tapi rimbanya dibalak jadi sawah baru  Sementara sawah yang ada digusur jadi pemukiman baru,Nagara Rimba Nusa tapi rimbanya dibalak jadi sawah baru Sementara sawah yang ada digusur jadi pemukiman baru,Nagara Rimba Nusa but the forest is being logged into new rice fields While the existing rice fields are being evicted into new settlements,positive,,,,,,,,,,,,,
30,30,1.38E+018,2021-03-27 23:34:42,mungkin itu burung asalanya dari sawah sebelah yang digusur,mungkin itu burung asalnya dari sawah sebelah yang digusur,maybe it's the original bird from the rice field next door that was evicted,neutral,,,,,,,,,,,,,
31,31,1.38E+018,2021-03-27 12:18:25,Sujeong menginjak tanah sawah sebelum lahannya digusur oleh jo sebagian teks hilang,Sujeong menginjak tanah sawah sebelum lahannya digusur oleh sebagian teks hilang,Sujeong stepped on the paddy field before the land was evicted by jo some of the text is missing,negative,,,,,,,,,,,,,
32,32,1.37E+018,2021-03-22 8:24:13,Sumber karbohidrat di Indonesia jenisnya banyak  Tapi kok seakan akan beras itu paling diistimewakan  Bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah,Sumber karbohidrat di Indonesia jenisnya banyak Tapi seakan akan beras itu paling diistimewakan Bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah,"There are many sources of carbohydrates in Indonesia. But how come it seems that rice is the most privileged. In fact, it is not uncommon for other carbohydrate sources to be evicted just to make rice fields.",positive,,,,,,,,,,,,,
33,33,1.37E+018,2021-03-20 11:19:27,Sawah digusur padi diimpor,Sawah digusur padi diimpor,Rice fields are being evicted by imported rice,neutral,,,,,,,,,,,,,
34,34,1.37E+018,2021-03-02 14:57:47,Gimana mau bertani  kalau sawah digusur jadi pabrik,bagaimana mau bertani kalau sawah digusur jadi pabrik,How do you want to farm if the rice fields are turned into factories?,positive,,,,,,,,,,,,,
35,35,1.37E+018,2021-02-28 22:31:27,Untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab Pekalongan jawa Tengah seluas    hektare akan digusur dijadikan pabrik,Untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab Pekalongan jawa Tengah seluas  hektare akan digusur dijadikan pabrik,"To improve agriculture, while the productive land of paddy fields in our village, Tengeng Wetan Village, Siwalan District, Pekalongan Regency, Central Java, covering an area of ​​one hectare, will be evicted to become a factory.",positive,,,,,,,,,,,,,
36,36,1.36E+018,2021-02-24 20:26:11,Ngecek sawah buat digusur yg udah   mah gtu sih,periksa sawah buat digusur yang sudah gitu sih,"Checking the fields to be evicted, it's already like that",positive,,,,,,,,,,,,,
37,37,1.36E+018,2021-02-24 20:07:11,Ayo nak anak agroteknologi bikin sawah indoor dlam gedung biar ga gampang digusur,Ayo anak anak agroteknologi bikin sawah indoor dalam gedung biar tidak gampang digusur,"Come on, children of agrotechnology, make indoor rice fields in the building so that they are not easily evicted",neutral,,,,,,,,,,,,,
38,38,1.36E+018,2021-02-19 11:05:45,Mereka takut utk kesana  Krn blm familiar  Mentalitas juga kurang ntr kalo kurang ilmu  Paling bener beli sawah lagi yg kira  ada minyak  Ntr kalo digusur lg dpt uang lg,Mereka takut untuk kesana karena belum familiar Mentalitas juga kurang kalo kurang ilmu Paling benar beli sawah lagi yang kira ada minyak Nanti kalau digusur lagi dapat uang lagi,"They are afraid to go there because they are not familiar Mentality is also lacking. If you lack knowledge, it's best to buy another rice field that thinks there is oil. Then if you are evicted, you get more money",negative,,,,,,,,,,,,,
39,39,1.36E+018,2021-02-17 20:33:26,Oh Indonesiaku  Tanah Subur Rakyat Nganggur Sawah Ladang pun digusur Tanam Jagung Tumbuh Gedung Tanam Padi Tumbuh Korupsi,Oh Indonesiaku  Tanah Subur Rakyat Nganggur Sawah Ladang digusur Tanam Jagung Tumbuh Gedung Tanam Padi Tumbuh Korupsi,"Oh, my Indonesia, fertile land, people are unemployed, rice fields are being evicted, planting corn grows, buildings planting rice, growing corruption.",negative,,,,,,,,,,,,,
40,40,1.36E+018,2021-02-17 1:41:17,Jadi inget cerita dari antah berantah  Satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah  Kemudian karena uang ganti rugi selalu dinaikan maka lama  warga desa luluh dan mau digusur  Ada satu warga yang kekeuh untuk mempertahankan rumah dan sawahnya lalu,Jadi inget cerita dari antah berantah Satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah Kemudian karena uang ganti rugi selalu dinaikan maka warga desa luluh dan mau digusur  Ada satu warga yang keras untuk mempertahankan rumah dan sawahnya lalu,"So remember the story from nowhere. One village initially opposed the acquisition of land in the form of rice fields and houses. Then because the compensation money was always increased, it took a long time for the villagers to melt and want to be evicted. There was one resident who was adamant about defending his house and fields",positive,,,,,,,,,,,,,
41,41,1.36E+018,2021-02-14 19:33:54,Jaman pak harto malah  x dalam setahun pak jaman pakharto Indonesia swasembada pangan pak harto blusukan kesawah berad expor sekarang jaman bpk blusukan kesawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tlg jangan tol aja di perhatikan,zaman pak harto malah dalam setahun pak zaman pak harto Indonesia swasembada pangan pak harto blusukan kesawah beras ekspor sekarang zaman bpk blusukan ke sawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tolong jangan tol aja diperhatikan,"During Pak Harto's time, it was not even a year in Pakharto's time, Pak Harto was self-sufficient in food, Pak Harto was blusukan in the fields to be exported, now is the time for Mr. Blusukan, rice fields, imports, rice fields, being evicted, our lives depend on agricultural products, Sir, please don't pay attention to tolls.",neutral,,,,,,,,,,,,,
42,42,1.36E+018,2021-02-13 21:59:44,Skate tengah sawah yg terancam digusur,Skate tengah sawah yg terancam digusur,Skate in the middle of a rice field that is in danger of being evicted,negative,,,,,,,,,,,,,
43,43,1.36E+018,2021-02-09 11:57:13,Wah dukung PLTA toh  Nanti kalau desa dan sawah warga digusur buat dilelepin setuju juga ya,dukung PLTA Nanti kalau desa dan sawah warga digusur buat digusur setuju juga ya,"Wow, support hydropower after all. Later, if the villagers and rice fields are evicted to be dumped, I agree too",positive,,,,,,,,,,,,,
44,44,1.36E+018,2021-02-06 7:37:50,kalau tambakrejo ga digusur mungkin sawah besar udah kerendem lagi,kalau tambakrejo tidak digusur mungkin sawah besar sudah kerendem lagi,"If Tambakrejo is not evicted, maybe the big rice fields are cool again",positive,,,,,,,,,,,,,
45,45,1.35E+018,2021-02-05 21:42:11,Kaya buat orang ngan sawah di tengah laut aja bu  Kata  abdur stand up  bukn kata saya  Tp emang capil udah digusur yah sampe turun tangan sndiri,Seperti buat orang sawah di tengah laut aja Kata abdur stand up  bukan kata saya tapi emang capil udah digusur sampai turun tangan sendirie,"It's like for people, just rice fields in the middle of the sea, Mrs. Abdur, standing up, is not what I said, but the capil has been evicted, so he has intervened himself.",positive,,,,,,,,,,,,,
46,46,1.36E+018,2021-02-05 15:09:50,Iyah pa soalnya tanah untuk sawah akan digusur dijadikan pabrik,Iya soalnya tanah untuk sawah akan digusur dijadikan pabrik,"Yes, it's because the land for rice fields will be evicted into factories",positive,,,,,,,,,,,,,
47,47,1.36E+018,2021-02-05 11:48:03,fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot    wagu sih  tanah digusur untuk pembangunan tapi warga dianjurkan  dipaksa  menanam skala tanggung kepalang ra karuan di pot,fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot  wagu tanah digusur untuk pembangunan tapi warga dianjurkan dipaksa menanam skala tanggung kepalang tidak karuan di pot,"The phenomenon of land being displaced for agriculture, especially rice plants, is to underestimate the name of rice fields and order to plant in wagu pots, but the land is being evicted for development, but residents are encouraged to be forced to plant an abysmal scale in pots.",neutral,,,,,,,,,,,,,
48,48,1.36E+018,2021-02-03 19:20:50,Nanti sawah  digusur  buat bikin ladang panel surya diprotes awkowkwok  Oiya penambangan bahan baku batre tenaga surya juga merusak lingkungan  Sampah  Apa asepmya juga gak merusak atmosfir  Awkowkwok,Nanti sawah digusur buat bikin ladang panel surya diprotes oh ya penambangan bahan baku baterai tenaga surya juga merusak lingkungan Sampah  asapnya juga tidak merusak atmosfer,"Later the rice fields will be evicted to make solar panel fields protested awkowkwok Oh yes, mining raw materials for solar batteries also destroys the environment Garbage What asepmya does not damage the atmosphere Awkowkwok",negative,,,,,,,,,,,,,
49,49,1.36E+018,2021-02-03 18:49:31,Ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belom pernah mencicipi lahan sawah  Eh udh sering deh  Buat digusur  Xixixixi,Ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belum pernah mencicipi lahan sawah sudah sering deh Buat digusur,"When the government knows more about it than the farmers themselves because they have never tasted rice fields Eh, it's been too many times to be evicted",neutral,,,,,,,,,,,,,
50,50,1.35E+018,2021-01-27 22:01:03,Tapipak kebonna ge digusur jadi pabrik  sawah jadi jalan tol  pasir dikedukan  Pak tani nu asli kesulitan dapat pupuk lhoo,Tapi pak kebunnya tidak digusur jadi pabrik  sawah jadi jalan tol  pasir dikedukan Pak tani itu asli kesulitan dapat pupuk,"Tapipak Kebonna ge has been evicted to become a rice field factory, so the sand toll road is in the place of the original farmer, it's hard to get fertilizer, you know",negative,,,,,,,,,,,,,
51,51,1.35E+018,2021-01-22 20:21:21,Bener banget dipanggil depan rumah langsung gas main ke sawah sekarang sawah udh digusur buat tol  kali udh di pagerin  jarang banjir jadi ga bisa nangkep ikan di jalantemen udh pada diluar pulau    emotional segudang,Benar banget dipanggil depan rumah langsung gas main ke sawah sekarang sawah sudah digusur buat tol sungai sudah dipagar jarang banjir jadi tidak bisa nangkep ikan di jalan teman sudah pada diluar pulau emotional segudang,"It's really true to be called in front of the house, the gas goes straight to the fields, now the rice fields have been evicted for the toll road, the times have been pagerined, rarely flooded, so I can't catch fish on the road, my friends are outside the island, there are a lot of emotions",positive,,,,,,,,,,,,,
52,52,1.35E+018,2021-01-17 21:24:48,Iya alhamdulillah banget  awalnya tuh penuh sawah deket rumah  tapi digusur sebagian  malah dibuat pergudangan gitu  nyesek sih,alhamdulillah banget  awalnya tuh penuh sawah deket rumah tapi digusur sebagian  malah dibuat pergudangan gitu nyesek sih,"Yes, thank God, at first it was full of rice fields near the house, but some of them were evicted instead of being made into warehouses, so it sucks",positive,,,,,,,,,,,,,
53,53,1.35E+018,2021-01-16 23:55:05,Btul stuju nder mau mendirikan panti kucing punya team untuk bencana dan mau beli banyak sawah tapi yg ngerjain sawahnya ttp pemilik aslinya ak cm mau ganti nama biar aman gak digusur pemerintah klo dah atas nama pnyaku trus mau melindungi habitat hewan skaligus hutan,Betul setuju mau mendirikan panti kucing punya team untuk bencana dan mau beli banyak sawah tapi yg ngerjain sawahnya tetap pemilik aslinya aku cuma mau ganti nama biar aman tidak digusur pemerintah kalau sudah atas nama punyaku terus mau melindungi habitat hewan sekaligus hutan,"It's true that I want to set up a cat house, have a team for disasters and want to buy lots of rice fields, but the one who works on the fields, but the original owner, I want to change the name so it's safe not to be evicted by the government if it's in the name of my father and wants to protect the animal's habitat as well as the forest. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",positive,,,,,,,,,,,,,
54,54,1.35E+018,2021-01-12 11:07:17,Hahhahha makin ngarang  sawah unuk petani  dimana   yg ada sawah petani digusur di ntb  hutan adat ditebang untuk perusahaan sawit kl sertifikasi tanah mah emang ada,makin tidak jelas sawah untuk petani dimana  yang ada sawah petani digusur di ntb hutan adat ditebang untuk perusahaan sawit kalau sertifikasi tanah emang ada,Hahhahha more and more making rice fields for farmers where there are farmers' fields being evicted in NTB customary forests are being cut down for palm oil companies if land certification does exist,negative,,,,,,,,,,,,,
55,55,1.35E+018,2021-01-12 3:39:53,Hahhaha naikkan  buat sawah di kalimantan yg gambut  Kethuilah tanah yg subur itu di jawa tepatnya jawa barat  Tanah petani  malah digusur untuk jl tol  untuk pabrik    ketika petani panen malah impor beras  pupuk dibuat susah  diersulit dg kartu an,naikkan buat sawah di kalimantan yg gambut Ketahuilah tanah yg subur itu di jawa tepatnya jawa barat aneh petani malah digusur untuk jalan tol  untuk pabrik ketika petani panen malah impor beras  pupuk dibuat susah dipersulit dengan kartu an,"Hahaha, increase it for peaty rice fields in Kalimantan, Keep in mind that fertile land is in Java, West Java, to be precise. Farmers' land is instead evicted to be used as a toll road for factories when farmers harvest rice and even import fertilizer, making it difficult to make it difficult with a card. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",positive,,,,,,,,,,,,,
56,56,1.35E+018,2021-01-03 9:46:15,di twttr kritis tentang sawah lahan banyak digusur jd cafe kopian resto  di ig foto story nongkrong di tempat  itu,di twitter kritis tentang sawah lahan banyak digusur jadi cafe kopian resto di instagram foto story nongkrong di tempat  itu,"in critical twttr about rice fields, many lands have been evicted, so a cafe, a coffee shop, on ig, a photo of a story, hanging out at that place",neutral,,,,,,,,,,,,,
57,57,1.34E+018,2020-12-25 0:10:23,Indonesia tanahnya luas  hasil buminya bagus dan makananya sudah pasti banyak  belum tau aja ini neneknya jio  kalo sawah banyak digusur buat proyek,Indonesia tanahnya luas hasil buminya bagus dan makanannya sudah pasti banyak belum tau saja ini neneknya jio kalau sawah banyak digusur buat proyek,"Indonesia has a large area of ​​land, the produce is good and the food is definitely a lot, I don't know, this is Jio's grandmother, if a lot of rice fields are being evicted for projects",positive,,,,,,,,,,,,,
